TEAM_ID,Season,TARGET_WIN_PCT,MADE_PLAYOFFS,ADV_ROUND1,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,AVAILABLE_FLAG
1610612751,2015-16,0.256,0.0,0.0,43.6,31.1,77.25,0.3996,5.75,19.1,0.2978,13.7,19.35,0.70545,11.6,29.55,41.15,16.3,15.45,7.3,5.0,5.25,21.05,20.85,81.65,1.0
1610612756,2015-16,0.28,0.0,0.0,45.2,37.15,82.65,0.4521,9.2,23.75,0.3818,18.05,24.05,0.748,10.35,33.4,43.75,18.0,16.4,8.5,4.35,4.3,22.45,22.6,101.55,1.0
1610612747,2015-16,0.207,0.0,0.0,46.0,32.25,78.85,0.40885,6.95,23.25,0.29635,19.35,25.1,0.76585,8.7,32.7,41.4,16.25,15.15,6.95,4.9,4.6,22.9,20.1,90.8,1.0
1610612755,2015-16,0.122,0.0,0.0,45.0,31.45,77.15,0.4072,6.85,22.65,0.30165,14.85,22.15,0.6764500000000001,10.55,32.3,42.85,16.15,18.95,6.9,5.95,6.65,23.1,20.2,84.6,1.0
1610612744,2016-17,0.817,1.0,0.0,45.6,37.95,82.7,0.4555,10.0,29.5,0.3341999999999999,17.75,22.4,0.7793,9.7,31.95,41.65,25.8,14.95,9.9,5.35,4.45,19.85,20.45,103.65,1.0
1610612738,2016-17,0.646,1.0,0.0,44.8,33.9,77.4,0.4366499999999999,9.45,27.1,0.34805,19.15,25.95,0.7386,9.95,29.95,39.9,19.2,14.5,7.9,4.2,5.15,22.75,23.7,96.4,1.0
1610612759,2016-17,0.744,1.0,0.0,44.9,34.5,77.15,0.44805,7.6,20.6,0.36455,17.35,21.4,0.8051499999999999,9.65,31.0,40.65,18.4,13.2,8.5,5.4,4.05,19.75,19.55,93.95,1.0
1610612739,2016-17,0.622,1.0,0.0,45.3,35.75,80.5,0.4434999999999999,11.35,30.15,0.36755,19.3,25.95,0.74375,10.45,33.5,43.95,19.1,14.2,6.9,5.85,4.95,20.3,22.9,102.15,1.0
1610612761,2016-17,0.622,1.0,0.0,46.25,36.65,80.65,0.45275,8.2,23.5,0.3417,20.1,25.5,0.7813,10.6,30.8,41.4,18.15,12.9,8.95,4.65,4.4,22.1,21.5,101.6,1.0666666666666669
1610612745,2016-17,0.671,1.0,0.0,46.0,36.75,81.4,0.45045,12.35,34.25,0.3589,15.2,20.95,0.7292,11.25,31.55,42.8,22.75,16.9,7.0,4.65,4.65,21.1,18.55,101.05,1.0
1610612746,2016-17,0.622,1.0,0.0,46.1,35.9,77.7,0.4620499999999999,8.0,22.1,0.3374000000000001,21.35,28.5,0.74455,8.75,32.9,41.65,20.25,14.4,9.05,4.8,2.95,22.2,24.85,101.15,1.0
1610612764,2016-17,0.598,1.0,0.0,46.25,36.55,82.15,0.4455,7.6,22.7,0.32975,16.4,22.0,0.7508000000000001,10.9,30.4,41.3,19.2,14.2,8.25,3.7,4.9,21.6,21.1,97.1,1.0
